X,Y,REGION,COMUNA,LAT,LNG,Año,Fecha,Tipo_Accdt,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora,,,,,,,,,,,,,,,,,,,,
-70.1331312,-20.2008047,REGION TARAPACA,IQUIQUE,-20.2008047,-70.1331312,2018,2018/05/16 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:50:00,,,,,,,,,,,,,,,,,,,,
-70.1438746,-20.2416754,REGION TARAPACA,IQUIQUE,-20.2416754,-70.1438746,2018,2018/05/16 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:20:00,,,,,,,,,,,,,,,,,,,,
-70.1293437,-20.2444949,REGION TARAPACA,IQUIQUE,-20.2444949,-70.1293437,2018,2018/12/26 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,01:25:00,,,,,,,,,,,,,,,,,,,,
-70.0986734,-20.2637153,REGION TARAPACA,ALTO HOSPICIO,-20.2637153,-70.0986734,2018,2018/05/15 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,1,07:45:00,,,,,,,,,,,,,,,,,,,,
-70.0969386,-20.2798006,REGION TARAPACA,ALTO HOSPICIO,-20.2798006,-70.0969386,2018,2018/05/15 00:00:00+00,CHOQUE POSTERIOR/FRENTE,"VEHICULO EN RETROCESO, CONDUCIR",0,0,0,0,07:50:00,,,,,,,,,,,,,,,,,,,,
-70.1445383,-20.2102667,REGION TARAPACA,IQUIQUE,-20.2102667,-70.1445383,2018,2018/05/17 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:30:00,,,,,,,,,,,,,,,,,,,,
-70.1361448,-20.2335869,REGION TARAPACA,IQUIQUE,-20.2335869,-70.1361448,2018,2018/05/17 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,20:30:00,,,,,,,,,,,,,,,,,,,,
-70.1528536,-20.2117876,REGION TARAPACA,IQUIQUE,-20.2117876,-70.1528536,2018,2018/05/17 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,0,17:30:00,,,,,,,,,,,,,,,,,,,,
-70.0953563,-20.2697311,REGION TARAPACA,ALTO HOSPICIO,-20.2697311,-70.0953563,2018,2018/05/18 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:00:00,,,,,,,,,,,,,,,,,,,,
-70.1257417,-20.2691828,REGION TARAPACA,IQUIQUE,-20.2691828,-70.1257417,2018,2018/05/17 00:00:00+00,COLISION POR ALCANCE,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,2,08:50:00,,,,,,,,,,,,,,,,,,,,
-70.1407861,-20.2440011,REGION TARAPACA,IQUIQUE,-20.2440011,-70.1407861,2018,2018/05/18 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:00:00,,,,,,,,,,,,,,,,,,,,
-70.1436951,-20.2188278,REGION TARAPACA,IQUIQUE,-20.2188278,-70.1436951,2018,2018/05/18 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,19:00:00,,,,,,,,,,,,,,,,,,,,
-70.14781,-20.2243764,REGION TARAPACA,IQUIQUE,-20.2243764,-70.14781,2018,2018/05/18 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",0,0,0,0,15:00:00,,,,,,,,,,,,,,,,,,,,
-70.126604,-20.2449594,REGION TARAPACA,IQUIQUE,-20.2449594,-70.126604,2018,2018/05/19 00:00:00+00,COLISION LATERAL,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,17:05:00,,,,,,,,,,,,,,,,,,,,
-70.1423787,-20.2236518,REGION TARAPACA,IQUIQUE,-20.2236518,-70.1423787,2018,2018/05/20 00:00:00+00,CHOQUE POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,07:30:00,,,,,,,,,,,,,,,,,,,,
-70.1467191,-20.2195518,REGION TARAPACA,IQUIQUE,-20.2195518,-70.1467191,2018,2018/05/20 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,0,20:30:00,,,,,,,,,,,,,,,,,,,,
-70.136419,-20.2289833,REGION TARAPACA,IQUIQUE,-20.2289833,-70.136419,2018,2018/05/21 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,11:30:00,,,,,,,,,,,,,,,,,,,,
-70.1039479,-20.2897322,REGION TARAPACA,ALTO HOSPICIO,-20.2897322,-70.1039479,2018,2018/05/18 00:00:00+00,COLISION,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,1,15:30:00,,,,,,,,,,,,,,,,,,,,
-70.1234944,-20.2651417,REGION TARAPACA,IQUIQUE,-20.2651417,-70.1234944,2018,2018/05/23 00:00:00+00,CHOQUE FRONTAL,PERDIDA CONTROL VEHICULO,0,0,0,0,15:55:00,,,,,,,,,,,,,,,,,,,,
-70.1432808,-20.2128747,REGION TARAPACA,IQUIQUE,-20.2128747,-70.1432808,2018,2018/05/24 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:29:00,,,,,,,,,,,,,,,,,,,,
-70.1431401,-20.2399771,REGION TARAPACA,IQUIQUE,-20.2399771,-70.1431401,2018,2018/05/24 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,19:40:00,,,,,,,,,,,,,,,,,,,,
-70.1378486,-20.2277897,REGION TARAPACA,IQUIQUE,-20.2277897,-70.1378486,2018,2018/05/16 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",0,1,0,0,07:45:00,,,,,,,,,,,,,,,,,,,,
-70.1513327,-20.2121701,REGION TARAPACA,IQUIQUE,-20.2121701,-70.1513327,2018,2018/05/25 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,14:40:00,,,,,,,,,,,,,,,,,,,,
-70.1441964,-20.2152135,REGION TARAPACA,IQUIQUE,-20.2152135,-70.1441964,2018,2018/05/25 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,15:00:00,,,,,,,,,,,,,,,,,,,,
-70.1306229,-20.2624201,REGION TARAPACA,IQUIQUE,-20.2624201,-70.1306229,2018,2018/05/25 00:00:00+00,CHOQUE FRENTE/LADO,PERDIDA CONTROL VEHICULO,0,0,0,0,19:40:00,,,,,,,,,,,,,,,,,,,,
-70.1435283,-20.2161356,REGION TARAPACA,IQUIQUE,-20.2161356,-70.1435283,2018,2018/05/26 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,03:05:00,,,,,,,,,,,,,,,,,,,,
-70.1262557,-20.2518105,REGION TARAPACA,IQUIQUE,-20.2518105,-70.1262557,2018,2018/05/26 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,07:40:00,,,,,,,,,,,,,,,,,,,,
-70.1307633,-20.2485799,REGION TARAPACA,IQUIQUE,-20.2485799,-70.1307633,2018,2018/05/26 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,18:10:00,,,,,,,,,,,,,,,,,,,,
-70.1411928,-20.2172503,REGION TARAPACA,IQUIQUE,-20.2172503,-70.1411928,2018,2018/05/27 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,3,22:50:00,,,,,,,,,,,,,,,,,,,,
-70.1495858,-20.2181521,REGION TARAPACA,IQUIQUE,-20.2181521,-70.1495858,2018,2018/05/27 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,07:42:00,,,,,,,,,,,,,,,,,,,,
-70.1441106,-20.238243,REGION TARAPACA,IQUIQUE,-20.238243,-70.1441106,2018,2018/05/27 00:00:00+00,ATROPELLO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,10:30:00,,,,,,,,,,,,,,,,,,,,
-70.1329638,-20.2291637,REGION TARAPACA,IQUIQUE,-20.2291637,-70.1329638,2018,2018/05/27 00:00:00+00,CHOQUE FRENTE/LADO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,12:00:00,,,,,,,,,,,,,,,,,,,,
-70.1058554,-20.2734785,REGION TARAPACA,ALTO HOSPICIO,-20.2734785,-70.1058554,2018,2018/05/21 00:00:00+00,COLISION,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,0,17:30:00,,,,,,,,,,,,,,,,,,,,
-70.1409449,-20.2441837,REGION TARAPACA,IQUIQUE,-20.2441837,-70.1409449,2018,2018/05/28 00:00:00+00,COLISION POR ALCANCE,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,16:15:00,,,,,,,,,,,,,,,,,,,,
-70.1063884,-20.2709329,REGION TARAPACA,ALTO HOSPICIO,-20.2709329,-70.1063884,2018,2018/05/23 00:00:00+00,COLISION,"CONDUCCION, CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION",0,0,0,0,12:50:00,,,,,,,,,,,,,,,,,,,,
-70.0951687,-20.2796676,REGION TARAPACA,ALTO HOSPICIO,-20.2796676,-70.0951687,2018,2018/05/23 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CAUSAS NO DETERMINADAS,0,0,0,0,13:30:00,,,,,,,,,,,,,,,,,,,,
-70.1254437,-20.2600254,REGION TARAPACA,IQUIQUE,-20.2600254,-70.1254437,2018,2018/05/28 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,02:00:00,,,,,,,,,,,,,,,,,,,,
-70.1805181,-20.5364084,REGION TARAPACA,IQUIQUE,-20.5364084,-70.1805181,2018,2018/05/29 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,15:30:00,,,,,,,,,,,,,,,,,,,,
-70.1464884,-20.2155092,REGION TARAPACA,IQUIQUE,-20.2155092,-70.1464884,2018,2018/06/10 00:00:00+00,CHOQUE FRONTAL,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,07:18:00,,,,,,,,,,,,,,,,,,,,
-70.0941636,-20.2607342,REGION TARAPACA,ALTO HOSPICIO,-20.2607342,-70.0941636,2018,2018/01/01 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,15:10:00,,,,,,,,,,,,,,,,,,,,
-70.0441605,-20.2862298,REGION TARAPACA,ALTO HOSPICIO,-20.2862298,-70.0441605,2018,2018/01/05 00:00:00+00,COLISION,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,17:30:00,,,,,,,,,,,,,,,,,,,,
-70.0805248,-20.277224,REGION TARAPACA,ALTO HOSPICIO,-20.277224,-70.0805248,2018,2018/05/27 00:00:00+00,COLISION,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",0,0,0,1,12:30:00,,,,,,,,,,,,,,,,,,,,
-70.1036395,-20.2672378,REGION TARAPACA,ALTO HOSPICIO,-20.2672378,-70.1036395,2018,2018/05/27 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,17:50:00,,,,,,,,,,,,,,,,,,,,
-70.0942196,-20.2754099,REGION TARAPACA,ALTO HOSPICIO,-20.2754099,-70.0942196,2018,2018/05/28 00:00:00+00,COLISION,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,09:00:00,,,,,,,,,,,,,,,,,,,,
-70.1361812,-20.2201278,REGION TARAPACA,IQUIQUE,-20.2201278,-70.1361812,2018,2018/05/30 00:00:00+00,CHOQUE FRENTE/LADO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:20:00,,,,,,,,,,,,,,,,,,,,
-70.1039826,-20.2753585,REGION TARAPACA,ALTO HOSPICIO,-20.2753585,-70.1039826,2018,2018/05/30 00:00:00+00,CHOQUE POSTERIOR,PERDIDA CONTROL VEHICULO,0,0,0,1,08:20:00,,,,,,,,,,,,,,,,,,,,
-70.1275076,-20.2643486,REGION TARAPACA,IQUIQUE,-20.2643486,-70.1275076,2018,2018/05/31 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,12:00:00,,,,,,,,,,,,,,,,,,,,
-70.130789,-20.2625059,REGION TARAPACA,IQUIQUE,-20.2625059,-70.130789,2018,2018/05/31 00:00:00+00,COLISION LATERAL,"CONDUCCION, CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION",0,0,0,0,10:45:00,,,,,,,,,,,,,,,,,,,,
-70.1369628,-20.2289498,REGION TARAPACA,IQUIQUE,-20.2289498,-70.1369628,2018,2018/05/31 00:00:00+00,COLISION FRONTAL,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",0,0,0,0,15:30:00,,,,,,,,,,,,,,,,,,,,
-70.1381753,-20.2367218,REGION TARAPACA,IQUIQUE,-20.2367218,-70.1381753,2018,2018/05/31 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:34:00,,,,,,,,,,,,,,,,,,,,
-70.1445818,-20.2086726,REGION TARAPACA,IQUIQUE,-20.2086726,-70.1445818,2018,2018/06/16 00:00:00+00,CHOQUE,PERDIDA CONTROL VEHICULO,0,0,0,0,08:30:00,,,,,,,,,,,,,,,,,,,,
-70.1306589,-20.2298502,REGION TARAPACA,IQUIQUE,-20.2298502,-70.1306589,2018,2018/06/01 00:00:00+00,ATROPELLO,"PEATON, EBRIEDAD DEL",0,1,0,0,21:40:00,,,,,,,,,,,,,,,,,,,,
-70.1285202,-20.2722984,REGION TARAPACA,IQUIQUE,-20.2722984,-70.1285202,2018,2018/06/01 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,14:00:00,,,,,,,,,,,,,,,,,,,,
-70.1356692,-20.2307033,REGION TARAPACA,IQUIQUE,-20.2307033,-70.1356692,2018,2018/06/01 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,16:00:00,,,,,,,,,,,,,,,,,,,,
-70.1344354,-20.22909,REGION TARAPACA,IQUIQUE,-20.22909,-70.1344354,2018,2018/06/01 00:00:00+00,ATROPELLO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,17:55:00,,,,,,,,,,,,,,,,,,,,
-70.1355547,-20.22796,REGION TARAPACA,IQUIQUE,-20.22796,-70.1355547,2018,2018/06/01 00:00:00+00,CHOQUE FRONTAL,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,22:00:00,,,,,,,,,,,,,,,,,,,,
-70.1028797,-20.268833,REGION TARAPACA,ALTO HOSPICIO,-20.268833,-70.1028797,2018,2018/01/06 00:00:00+00,COLISION FRONTAL,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,0,20:20:00,,,,,,,,,,,,,,,,,,,,
-70.1453448,-20.2187327,REGION TARAPACA,IQUIQUE,-20.2187327,-70.1453448,2018,2018/06/02 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER LUZ ROJA DE SEMAFORO",0,0,0,0,03:50:00,,,,,,,,,,,,,,,,,,,,
-70.1360525,-20.2364664,REGION TARAPACA,IQUIQUE,-20.2364664,-70.1360525,2018,2018/06/02 00:00:00+00,CHOQUE FRONTAL,CAUSAS NO DETERMINADAS,0,0,0,0,04:30:00,,,,,,,,,,,,,,,,,,,,
-70.122655,-20.263175,REGION TARAPACA,IQUIQUE,-20.263175,-70.122655,2018,2018/06/02 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,09:45:00,,,,,,,,,,,,,,,,,,,,
-70.129747,-20.2301504,REGION TARAPACA,IQUIQUE,-20.2301504,-70.129747,2018,2018/01/07 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,21:50:00,,,,,,,,,,,,,,,,,,,,
-70.1060096,-20.2699836,REGION TARAPACA,ALTO HOSPICIO,-20.2699836,-70.1060096,2018,2018/06/03 00:00:00+00,COLISION,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,10:35:00,,,,,,,,,,,,,,,,,,,,
-70.135743,-20.2049745,REGION TARAPACA,IQUIQUE,-20.2049745,-70.135743,2018,2018/06/02 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,12:30:00,,,,,,,,,,,,,,,,,,,,
-70.1286667,-20.2382135,REGION TARAPACA,IQUIQUE,-20.2382135,-70.1286667,2018,2018/06/02 00:00:00+00,COLISION LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:00:00,,,,,,,,,,,,,,,,,,,,
-70.1282534,-20.2632877,REGION TARAPACA,IQUIQUE,-20.2632877,-70.1282534,2018,2018/12/21 00:00:00+00,ATROPELLO,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,1,15:00:00,,,,,,,,,,,,,,,,,,,,
-70.1428339,-20.2145966,REGION TARAPACA,IQUIQUE,-20.2145966,-70.1428339,2018,2018/06/03 00:00:00+00,COLISION LATERAL,CAUSAS NO DETERMINADAS,0,0,0,0,23:00:00,,,,,,,,,,,,,,,,,,,,
-70.1353667,-20.2281557,REGION TARAPACA,IQUIQUE,-20.2281557,-70.1353667,2018,2018/06/03 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,05:30:00,,,,,,,,,,,,,,,,,,,,
-70.1348905,-20.2185709,REGION TARAPACA,IQUIQUE,-20.2185709,-70.1348905,2018,2018/06/03 00:00:00+00,ATROPELLO,"PEATON, CRUZA CALZADA FUERA PASO PEATONES",0,1,0,0,06:50:00,,,,,,,,,,,,,,,,,,,,
-70.106074,-20.2495998,REGION TARAPACA,ALTO HOSPICIO,-20.2495998,-70.106074,2018,2018/06/05 00:00:00+00,COLISION,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,0,19:20:00,,,,,,,,,,,,,,,,,,,,
-70.1354882,-20.2279008,REGION TARAPACA,IQUIQUE,-20.2279008,-70.1354882,2018,2018/06/04 00:00:00+00,COLISION POR ALCANCE,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,16:20:00,,,,,,,,,,,,,,,,,,,,
-70.1391357,-20.2163207,REGION TARAPACA,IQUIQUE,-20.2163207,-70.1391357,2018,2018/06/05 00:00:00+00,CHOQUE FRENTE/LADO,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,20:40:00,,,,,,,,,,,,,,,,,,,,
-70.1361812,-20.2201278,REGION TARAPACA,IQUIQUE,-20.2201278,-70.1361812,2018,2018/06/06 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER LUZ ROJA DE SEMAFORO",0,0,0,0,11:00:00,,,,,,,,,,,,,,,,,,,,
-70.146763,-20.2206303,REGION TARAPACA,IQUIQUE,-20.2206303,-70.146763,2018,2018/06/06 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",0,0,0,0,18:00:00,,,,,,,,,,,,,,,,,,,,
-70.1528194,-20.2126118,REGION TARAPACA,IQUIQUE,-20.2126118,-70.1528194,2018,2018/06/08 00:00:00+00,CHOQUE LATERAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:00:00,,,,,,,,,,,,,,,,,,,,
-70.151505,-20.2093046,REGION TARAPACA,IQUIQUE,-20.2093046,-70.151505,2018,2018/06/08 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,16:45:00,,,,,,,,,,,,,,,,,,,,
-70.1402706,-20.242826,REGION TARAPACA,IQUIQUE,-20.242826,-70.1402706,2018,2018/06/09 00:00:00+00,ATROPELLO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,1,0,0,20:45:00,,,,,,,,,,,,,,,,,,,,
-70.1290144,-20.2297783,REGION TARAPACA,IQUIQUE,-20.2297783,-70.1290144,2018,2018/06/09 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,16:00:00,,,,,,,,,,,,,,,,,,,,
-70.1394431,-20.2080256,REGION TARAPACA,IQUIQUE,-20.2080256,-70.1394431,2018,2018/06/09 00:00:00+00,CHOQUE FRONTAL,PERDIDA CONTROL VEHICULO,0,0,0,1,20:15:00,,,,,,,,,,,,,,,,,,,,
-70.1266976,-20.2748303,REGION TARAPACA,IQUIQUE,-20.2748303,-70.1266976,2018,2018/06/09 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION BAJO LA INFLUENCIA DEL ALCOHOL,0,0,0,1,04:30:00,,,,,,,,,,,,,,,,,,,,
-70.1282904,-20.2444412,REGION TARAPACA,IQUIQUE,-20.2444412,-70.1282904,2018,2018/06/10 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:00:00,,,,,,,,,,,,,,,,,,,,
-70.1471935,-20.2141015,REGION TARAPACA,IQUIQUE,-20.2141015,-70.1471935,2018,2018/06/11 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,20:39:00,,,,,,,,,,,,,,,,,,,,
-70.1021307,-20.2932645,REGION TARAPACA,ALTO HOSPICIO,-20.2932645,-70.1021307,2018,2018/06/06 00:00:00+00,CHOQUE FRONTAL,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,07:50:00,,,,,,,,,,,,,,,,,,,,
-70.1432496,-20.2361153,REGION TARAPACA,IQUIQUE,-20.2361153,-70.1432496,2018,2018/06/11 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,14:06:00,,,,,,,,,,,,,,,,,,,,
-70.1057337,-20.275428,REGION TARAPACA,ALTO HOSPICIO,-20.275428,-70.1057337,2018,2018/06/09 00:00:00+00,COLISION,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,1,19:30:00,,,,,,,,,,,,,,,,,,,,
